0.3211,0.2713,0.2391,0.2178,0.2115,0.2167,0.2365,0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1224,0.4286,0.1633,0.4286,154.4000
0.2713,0.2391,0.2178,0.2115,0.2167,0.2365,0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1633,0.4286,0.1429,0.4286,140.4000
0.2391,0.2178,0.2115,0.2167,0.2365,0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.4286,0.1224,0.4286,130.9000
0.2178,0.2115,0.2167,0.2365,0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.3443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1224,0.4286,0.0408,0.4082,125.4000
0.2115,0.2167,0.2365,0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.3443,0.3088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0408,0.4082,0.0408,0.4286,121.5000
0.2167,0.2365,0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.3443,0.3088,0.2882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0408,0.4286,0.0816,0.4898,121.1000
0.2365,0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.3443,0.3088,0.2882,0.2736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0816,0.4898,0.1633,0.5306,122.5000
0.2998,0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.3443,0.3088,0.2882,0.2736,0.2721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1633,0.5306,0.2245,0.5714,139.4000
0.3825,0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.3443,0.3088,0.2882,0.2736,0.2721,0.2773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2245,0.5714,0.3061,0.6122,164.9000
0.4596,0.5299,0.5966,0.6400,0.6703,0.7137,0.7358,0.7515,0.7631,0.7507,0.6939,0.6317,0.6033,0.5225,0.4240,0.3409,0.2882,0.2504,0.2272,0.2156,0.2156,0.2189,0.2829,0.3769,0.4678,0.5614,0.6340,0.6853,0.7272,0.7534,0.7769,0.7957,0.8035,0.7818,0.7238,0.6658,0.6340,0.5632,0.4779,0.3967,0.3443,0.3088,0.2882,0.2736,0.2721,0.2773,0.3406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3061,0.6122,0.3469,0.6531,188.7000
